text_encoder.model.layers.20.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.20.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.20.post_attention_layernorm.weight,2560
text_encoder.model.layers.20.self_attn.k_norm.weight,128
text_encoder.model.layers.20.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.20.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.20.self_attn.q_norm.weight,128
text_encoder.model.layers.20.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.20.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.21.input_layernorm.weight,2560
text_encoder.model.layers.21.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.21.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.21.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.21.post_attention_layernorm.weight,2560
text_encoder.model.layers.21.self_attn.k_norm.weight,128
text_encoder.model.layers.21.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.21.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.21.self_attn.q_norm.weight,128
text_encoder.model.layers.21.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.21.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.22.input_layernorm.weight,2560
text_encoder.model.layers.22.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.22.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.22.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.22.post_attention_layernorm.weight,2560
text_encoder.model.layers.22.self_attn.k_norm.weight,128
text_encoder.model.layers.22.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.22.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.22.self_attn.q_norm.weight,128
text_encoder.model.layers.22.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.22.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.23.input_layernorm.weight,2560
text_encoder.model.layers.23.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.23.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.23.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.23.post_attention_layernorm.weight,2560
text_encoder.model.layers.23.self_attn.k_norm.weight,128
text_encoder.model.layers.23.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.23.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.23.self_attn.q_norm.weight,128
text_encoder.model.layers.23.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.23.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.24.input_layernorm.weight,2560
text_encoder.model.layers.24.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.24.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.24.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.24.post_attention_layernorm.weight,2560
text_encoder.model.layers.24.self_attn.k_norm.weight,128
text_encoder.model.layers.24.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.24.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.24.self_attn.q_norm.weight,128
text_encoder.model.layers.24.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.24.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.25.input_layernorm.weight,2560
text_encoder.model.layers.25.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.25.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.25.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.25.post_attention_layernorm.weight,2560
text_encoder.model.layers.25.self_attn.k_norm.weight,128
text_encoder.model.layers.25.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.25.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.25.self_attn.q_norm.weight,128
text_encoder.model.layers.25.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.25.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.26.input_layernorm.weight,2560
text_encoder.model.layers.26.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.26.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.26.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.26.post_attention_layernorm.weight,2560
text_encoder.model.layers.26.self_attn.k_norm.weight,128
text_encoder.model.layers.26.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.26.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.26.self_attn.q_norm.weight,128
text_encoder.model.layers.26.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.26.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.27.input_layernorm.weight,2560
text_encoder.model.layers.27.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.27.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.27.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.27.post_attention_layernorm.weight,2560
text_encoder.model.layers.27.self_attn.k_norm.weight,128
text_encoder.model.layers.27.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.27.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.27.self_attn.q_norm.weight,128
text_encoder.model.layers.27.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.27.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.28.input_layernorm.weight,2560
text_encoder.model.layers.28.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.28.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.28.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.28.post_attention_layernorm.weight,2560
text_encoder.model.layers.28.self_attn.k_norm.weight,128
text_encoder.model.layers.28.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.28.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.28.self_attn.q_norm.weight,128
text_encoder.model.layers.28.self_attn.q_proj.weight,4096,2560
text_encoder.model.layers.28.self_attn.v_proj.weight,1024,2560
text_encoder.model.layers.29.input_layernorm.weight,2560
text_encoder.model.layers.29.mlp.down_proj.weight,2560,9728
text_encoder.model.layers.29.mlp.gate_proj.weight,9728,2560
text_encoder.model.layers.29.mlp.up_proj.weight,9728,2560
text_encoder.model.layers.29.post_attention_layernorm.weight,2560
text_encoder.model.layers.29.self_attn.k_norm.weight,128
text_encoder.model.layers.29.self_attn.k_proj.weight,1024,2560
text_encoder.model.layers.29.self_attn.o_proj.weight,2560,4096
text_encoder.model.layers.29.self_attn.q_norm.weight,128
